id,nome,numero,amostra,coleta,entrada,tipo1_ativo,tipo1_id,ph,tipo2_ativo,tipo2_id,Temperatura,tipo3_ativo,tipo3_id,Turbidez,tipo4_ativo,tipo4_id,Cor,tipo5_ativo,tipo5_id,Temperatura Ar,tipo6_ativo,tipo6_id,Nitrato,tipo7_ativo,tipo7_id,Nitrito,tipo8_ativo,tipo8_id,Nitrogênio Amoniacal Total,tipo9_ativo,tipo9_id,OD,tipo10_ativo,tipo10_id,DBO,concluido,processo_id,tipo_padrao,ponto,conclusao,tipo11_ativo,tipo11_id,Cloreto,tipo12_ativo,tipo12_id,Clorofila a,tipo13_ativo,tipo13_id,Fósforo Total,tipo14_ativo,tipo14_id,Salinidade,tipo15_ativo,tipo15_id,Condutividade elétrica,tipo16_ativo,tipo16_id,Sólidos suspensos totais,tipo17_ativo,tipo17_id,Sólidos totais dissolvidos,tipo18_ativo,tipo18_id,Sólidos totais,tipo19_ativo,tipo19_id,Coliformes Termotolerantes,tipo20_ativo,tipo20_id,Alcalinidade total,itens,data_conclusao,dentro,tipo21_ativo,tipo21_id,Alcalinidade em Hidrogênio,tipo22_ativo,tipo22_id,Alcalinidade em Carbonato,tipo23_ativo,tipo23_id,Alcalinidade em Bicarbonato,tipo24_ativo,tipo24_id,tipo24_resultado,tipo25_ativo,tipo25_id,Sulfato,legenda_padrao,emitido,impresso,x,y,processo_id2,fisicoquimica,codigo_instituicao,codigo_hidro,latitude,longitude,tipo26_ativo,tipo26_id,tipo26_resultado,tipo27_ativo,tipo27_id,tipo27_resultado,tipo28_ativo,tipo28_id,tipo28_resultado,tipo29_ativo,tipo29_id,tipo29_resultado,tipo30_ativo,tipo30_id,tipo30_resultado,hora_coleta,hora_entra_laboratorio,demanda,parametro_tipologia_id
6046,Água doce Classe 2 – Ambiente Lótico,395/2014,Água do rio Poti.,2014-05-27 00:00:00,2014-05-28 00:00:00,True,105,9,True,106,3.5,True,107,99,True,108,30,True,109,0.3,True,110,0.002,True,111,0.3,True,112,Zero,True,116,8.5,True,117,3.5,True,",",para Classe 2 pela Resolução CONAMA 357/05,"Bacia do Parnaíba - À montante do lançamento da ETE maratoã (CAGECE), na sede do município.Crateús/CE","Dentre as análises efetuadas, a amostra apresentou os parâmetros <b>Cor e Fósforo Total</b> em desacordo com os padrões estabelecidos pela Resolução CONAMA 357/05.",True,94,144.4,True,119,16.3,True,120,16,True,156,0.4,True,122,Zero,True,308,0.1,True,102,10,False,0,,False,0,,False,0,,20,2014-06-05 13:58:02.311639,0.0,False,0,,False,0,,False,0,,False,0,,False,0,,"Padrões estabelecidos pela Resolução CONAMA Nº. 357/05, para águas doces Classe 2.  <br><b>(NMP)</b> – Número mais provável",True,True,316081.0,9426330.0,,True,,,,,,,,,,,,,,,,,,,,,,,
6067,Potabilidade,407/2014,Água Tratada.,2014-06-03 00:00:00,2014-06-04 00:00:00,True,71,7.9,True,72,32,True,75,4.2,True,351,2,True,76,90,True,78,Ausência,True,79,Ausência,True,80,90,True,82,140,True,83,29.5,True,169613,pela Portaria 2914/11 do Ministério da Saúde.,Torneira da adultora da rede de distribuição da ETA. Bela Cruz/CE.,"Dentre as análises efetuadas, a amostra apresentou-se de acordo com os padrões estabelecidos pela Portaria 2914/11 do Ministério da Saúde.",True,84,17.9,True,86,42,True,87,40.5,True,90,2.3,True,91,0.003,True,92,0.8,True,93,< LD,True,94,306,True,95,0.3,True,99,2,25,2014-06-06 13:59:03.02595,1.0,True,103,146.8,True,263,Zero,False,0,,False,0,,False,0,,Padrão de potabilidade estabelecido pela Portaria 2914/11 do Ministério da Saúde  <br> <b>(NMP)</b> – Número mais provável. <b> (LD)</b> - menor que o limite de detecção.,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
6125,Potabilidade,462/2014,Água Mineral Natural Litorágua.,2014-07-08 00:00:00,2014-07-08 00:00:00,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,True,",",pela Portaria 2914/11 do Ministério da Saúde.,Garrafão Litorágua 20 L - Lote 68.,"Dentre as análises efetuadas, a amostra apresentou-se de acordo com os padrões estabelecidos  pela Portaria 2914/11 do Ministério da Saúde.",False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,25,2014-07-10 13:36:03.817332,1.0,False,0,,True,263,Zero,False,0,,False,0,,False,0,,Padrão de potabilidade estabelecido pela Portaria 2914/11 do Ministério da Saúde  <br> <b>(NMP)</b> – Número mais provável,True,True,,,,False,,,,,,,,,,,,,,,,,,,,,,,
6201,ETE - Lagoa de Estabilização,,Efluente tratado.,2014-08-12 00:00:00,2014-08-13 00:00:00,True,28,8.7,True,31,28,True,32,Zero,True,33,Ausente,True,34,43,False,0,,True,42,12,True,41,3.4,True,40,79.7,False,0,,False,,"pela Portaria SEMACE 154/02 Art.4°, § 2°.",Saída final da lagoa de estabilização - Sede Paracuru/CE.,"Dentre as análises efetuadas, a amostra apresentou-se de acordo com os padrões estabelecidos  pela Portaria SEMACE 154/02 Art.4°, § 2°.",True,126,0.1,True,39,4.4,True,43,40,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,15,2014-08-27 10:14:35.496472,1.0,False,0,,False,0,,False,0,,False,0,,False,0,,Padrões SEMACE para lançamento em Recursos Hídricos.,False,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
6209,Lançamento no Solo - Fontes Poluidoras,535/2014,Efluente.,2014-08-19 00:00:00,2014-08-19 00:00:00,True,16,7.9,True,17,27,True,18,2.5,True,21,Ausente,True,23,44,True,25,252.5,True,126,0.08,True,27,,True,24,102.4,False,0,,True,",",pela Portaria SEMACE 154/02 Art.4°,FP 29 - Setor Oeste - Galeria pluvial próxima ao ponto de coleta “Colônia” (balneabilidade das praias).Fortaleza/CE.,"Dentre as análises efetuadas, a amostra apresentou os parâmetros <b>Mat. Sedimentáveis, Coliformes Fecais, DQO e Subst. Solúveis em Hexano</b> em desacordo com os padrões estabelecidos  pela Portaria SEMACE 154/02 Art.4°",False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,10,2014-09-11 13:51:11.734947,0.0,False,0,,False,0,,False,0,,False,0,,False,0,,Padrões SEMACE para lançamento em Recursos Hídricos e Solo.,True,True,547948.0,9590302.0,,True,,,,,,,,,,,,,,,,,,,,,,,
6281,Águas Salinas Classe 1,649/2014,Água.,2014-09-15 00:00:00,2014-09-16 00:00:00,True,167,8.3,True,108,29,True,169,37,True,201,2.6,True,134,43.6,True,118,74.3,True,177,1,True,203,0.07,False,0,,True,202,0.06,True,208200,para Classe 2 pela Resolução CONAMA 357/05,Canal de Abastecimento.,"Dentre as análises efetuadas, a amostra apresentou os parâmetros <b>Turbidez e Fósforo Total</b> em desacordo com os padrões estabelecidos pela Resolução CONAMA 357/05",False,0,,False,0,,True,170,0.4,True,171,Zero,True,206,119,True,174,8.7,True,175,1.5,True,176,24618,False,0,,False,0,,25,2014-09-30 13:54:41.22856,0.0,False,0,,False,0,,True,122,Zero,False,0,,False,0,,"Padrões estabelecidos pela Resolução CONAMA Nº. 357/05, para águas salinas classe 1.<br><b>(NMP)</b> – Número mais provável.      <b>(ND)</b> - Não Determinado.",True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
6463,Águas Salinas Classe 1,769/2014,Água.,2014-11-20 00:00:00,2014-11-20 00:00:00,True,167,7.7,True,108,27,True,169,45,True,201,2.8,True,134,42,True,118,68,True,177,1,True,203,0.19,True,175,ND,True,202,0.1,True,195741,para Classe 2 pela Resolução CONAMA 357/05,Canal de Abastecimento.,"Dentre as análises efetuadas, a amostra apresentou os parâmetros <b>Turbidez, Fósforo Total e Nitrato</b> em desacordo com os padrões estabelecidos pela Resolução CONAMA 357/05.",False,0,,False,0,,True,170,0.5,True,171,0.003,True,206,2524,True,174,6.5,False,0,,True,176,19795,False,0,,False,0,,25,2014-11-27 15:16:28.320533,0.0,False,0,,False,0,,True,122,Zero,False,0,,False,0,,"Padrões estabelecidos pela Resolução CONAMA Nº. 357/05, para águas salinas classe 1.<br><b>(NMP)</b> – Número mais provável.      <b>(ND)</b> - Não Determinado.",True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
6507,Água doce Classe 2 – Ambiente Lêntico,794/2014,Água do Rio Jaguaribe.,2014-12-02 00:00:00,2014-12-03 00:00:00,True,105,9.1,True,108,30,True,107,10,True,106,1.5,True,109,0.2,True,110,0.004,True,153,0.01,True,112,Zero,True,116,8.2,True,117,ND,True,220835,para Classe 2 pela Resolução CONAMA 357/05,Canal de Abastecimento.,"Dentre as análises efetuadas, a amostra apresentou os parâmetros <b>pH e Fósforo Total</b> em desacordo com os padrões estabelecidos pela Resolução CONAMA 357/05.",True,94,424,True,308,0.2,True,119,52.5,True,120,4,True,158,0.12,False,0,,False,0,,True,122,110,False,0,,False,0,,25,2014-12-15 13:13:50.314754,0.0,False,0,,False,0,,False,0,,False,0,,False,0,,"Padrões estabelecidos pela Resolução CONAMA Nº. 357/05, para águas doces Classe 2, ambiente lêntico.<br><b>(NMP)</b> – Número mais provável.  <b>(ND)</b> - Não Determinado.",True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
6541,Água doce Classe 2 – Ambiente Lêntico,803/2014,Efluente de Carcinicultura.,2014-12-03 00:00:00,2014-12-04 00:00:00,True,105,8.7,True,108,29.8,True,107,1954,True,106,297,True,109,4.8,True,110,0.1,True,153,3.5,True,112,4,True,116,6.7,True,117,ND,True,196498,para Classe 2 pela Resolução CONAMA 357/05,Canal de Drenagem.,"Dentre as análises efetuadas, a amostra apresentou os parâmetros<b> Cor, Turbidez, Nitrogênio Amoniacal Total e Fósforo total</b> em desacordo com os padrões estabelecidos pela Resolução CONAMA 357/05.",True,94,968,True,308,0.4,True,119,47.5,True,120,7,True,158,0.89,False,0,,False,0,,True,122,20,False,0,,False,0,,25,2014-12-22 11:32:54.484616,0.0,False,0,,False,0,,False,0,,False,0,,False,0,,"Padrões estabelecidos pela Resolução CONAMA Nº. 357/05, para águas doces Classe 2. <br><b>(NMP)</b> – Número mais provável.      <b>(ND)</b> - Não Determinado.",True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
6716,Potabilidade,22/2015,Água de Poço.,2015-02-03 00:00:00,2015-02-03 00:00:00,True,71,6.4,True,72,443,True,75,49.3,True,208,22.4,True,76,58,True,78,Ausente,True,79,Ausente,True,80,58,True,82,20,True,83,3.2,True,243262,pela Portaria 2914/11 do Ministério da Saúde.,Ponto 03 - Poço da Mandala.,"Dentre as análises efetuadas, a amostra apresentou os parâmetros <b> Cor, Turbidez, Ferro e Coliformes Termotolerantes </b> em desacordo com os padrões estabelecidos  pela Portaria 2914/11 do Ministério da Saúde.",True,84,2.9,True,86,58.8,True,87,51.8,True,90,5.4,True,91,0.01,True,92,1.2,True,93,0.8,True,94,321,True,95,1.13,True,99,5,25,2015-03-13 11:45:05.805757,0.0,True,103,158.8,True,263,,False,0,,False,0,,False,0,,Padrão de potabilidade estabelecido pela Portaria 2914/11 do Ministério da Saúde   <br><b>(NMP)</b> – Número mais provável,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
